ready2.keys,ready2.rt,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,ready3.keys,ready3.rt,resp.keys,resp.corr,resp.rt,within_block.thisRepN,within_block.thisTrialN,within_block.thisN,within_block.thisIndex,within_block.ran,word,difficulty,correct_answer,Azonosító,Az Ön neme,Születési éve,Hány évet töltött az iskolapadban (egyetemet is beleértve),date,expName,psychopyVersion,OS,frameRate,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,block_names
right,11.219,right,1.146,left,1.625,up,8.644,left,1,3.356,0,0,0,10,1,címelés,1,left,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,1.112,0,1,1,1,1,szeptember,1,right,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,0,0,0,0,1,blocks/block_1.xlsx
,,,,,,,,right,1,0.598,0,0,0,1,1,tér,2,right,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.645,0,1,1,12,1,cím,2,right,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,0,1,1,1,1,blocks/block_2.xlsx
,,,,,,,,left,1,1.381,0,0,0,23,1,perilita,3,left,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,left,1,1.917,0,1,1,16,1,megköny,3,left,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,0,2,2,2,1,blocks/block_3.xlsx
,,,,,,,,right,1,0.865,0,0,0,7,1,évfolyam,4,right,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.482,0,1,1,10,1,kész,4,right,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,0,3,3,3,1,blocks/block_4.xlsx
,,,,,,,,left,1,0.958,0,0,0,20,1,skadai,5,left,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,right,1,0.728,0,1,1,13,1,mód,5,right,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,,,,,,
,,,,,,,,,,,,,,,,,,,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,0,4,4,4,1,blocks/block_5.xlsx
,,,,,,,,right,1,0.735,0,0,0,22,1,célszerű,6,right,5020,Férfi,1996,17,2020-09-30_09h37.43.100,lexdecspan,2020.1.2,Win32,60,,,,,,
